['Round'],['offer->ask'],['max_profit'],['deviation'],['max_offer_amount'],['max_ask_amount'],['KRT.pool'],['UST.pool'],['KRT_profit'],['UST_profit']
107205,UST->KRT,78.05068753430298,-0.1376798720909535,736.7000000000006,882901.0062362388,9999117098.993763,20000736.7,331392.1834801199,1888.2822516851106
107648,UST->KRT,22.585453882763975,-0.1295105394783689,396.30000000000035,474966.71334410296,9999525033.286655,20000396.3,331414.76893400267,1888.2822516851106
107649,UST->KRT,728.9030081461881,-0.17402945113788895,2251.800000000002,2698187.4219650924,9997076845.86469,20002251.8,332143.6719421489,1888.2822516851106
107650,UST->KRT,129.1872385107447,-0.1427488067091858,947.7000000000008,1135745.9606509844,9996191099.90404,20002699.5,332272.85918065964,1888.2822516851106
107656,KRT->UST,296.59160187586644,0.8906481939633927,92835301,76971.81885047446,10090526400.90404,19923028.181149524,332272.85918065964,2184.8738535609773
108226,KRT->UST,0.00016729099576175908,0.12057877813506043,69501,57.84783127864539,10000069501,19999942.15216872,332272.85918065964,2184.874020851973
109063,UST->KRT,4.442735867772834,-0.12421809147773956,175.80000000000015,210702.39768172408,9999789297.602318,20000175.8,332277.3019165274,2184.874020851973
109068,KRT->UST,16.619243053138707,0.3024238381143065,21910801,18220.43568135217,10021910801,19981779.56431865,332277.3019165274,2201.4932639051117
109358,KRT->UST,0.015130250414483166,0.12550425818019642,660501,549.7418514456587,10000660501,19999450.258148555,332277.3019165274,2201.5083941555263
109701,KRT->UST,0.1140309880485651,0.13511079084849575,1813401,1509.2399262660533,10001813401,19998490.760073733,332277.3019165274,2201.6224251435747
109773,KRT->UST,1.8282554240488054,0.18050541516245489,7262801,6043.240382309574,10007262801,19993956.75961769,332277.3019165274,2203.4506805676233
109774,KRT->UST,332.2111793079638,0.9357256416079904,98260501,81451.51768193695,10105273302,19913005.241935752,332277.3019165274,2535.661859875587
110779,UST->KRT,66.15499987639265,-0.1362769146906514,678.3000000000006,812917.0003041383,9999187082.999697,20000678.3,332343.4569164038,2535.661859875587
110832,UST->KRT,62.88521608640228,-0.1358695652173913,661.3000000000006,792544.7592495889,9999207455.240751,20000661.3,332406.3421324902,2535.661859875587
110844,KRT->UST,0.002214208029819127,0.12210564399422363,252701,210.32924840545013,10000252701,19999789.670751594,332406.3421324902,2535.664074083617
111159,KRT->UST,0.003160462310124616,0.12251565477810228,301901,251.2791009768301,10000301901,19999748.720899023,332406.3421324902,2535.667234545927
111160,UST->KRT,801.4722699469779,-0.17665443674410639,2361.300000000002,2829357.0533812735,9997222543.946619,20002361.3,333207.8144024372,2535.667234545927
111161,UST->KRT,62.72315916088083,-0.13585110718652355,660.3000000000006,791346.3736676209,9996681197.572952,20002521.6,333270.53756159806,2535.667234545927
112146,KRT->UST,0.6746121497764566,0.1567538516660695,4411301,3670.9973100966026,10004411301,19996329.0026899,333270.53756159806,2536.341846695703
112156,UST->KRT,0.1619910361877591,-0.12080536912750864,33.60000000000003,40271.4534614814,10001871029.54654,20000033.6,333270.69955263427,2536.341846695703
112187,KRT->UST,0.014488352987810305,0.12538623438270485,646401,538.0065912569647,10000646401,19999461.993408743,333270.69955263427,2536.356335048691
112525,KRT->UST,1.0394435564633868,0.16562220232765526,5475901,4556.734006925124,10005475901,19995443.265993074,333270.69955263427,2537.3957786051546
112598,KRT->UST,0.286447900675462,0.14394961763382,2874301,2392.089705356732,10002874301,19997607.910294645,333270.69955263427,2537.68222650583
112638,KRT->UST,0.016137562093395834,0.1256845318251067,682201,567.8024731327843,10000682201,19999432.19752687,333270.69955263427,2537.698364067923
113117,UST->KRT,29.452340154337396,-0.130860520734628,452.5000000000004,542318.9167009436,9999457681.0833,20000452.5,333300.1518927886,2537.698364067923
113129,UST->KRT,203.69724117328298,-0.1485616530860389,1190.200000000001,1426322.1541803128,9998573677.84582,20001190.2,333503.8491339619,2537.698364067923
113225,KRT->UST,0.0008787494513399813,0.12132650310055801,159201,132.50741897255975,10000159201,19999867.49258103,333503.8491339619,2537.6992428173744
113237,UST->KRT,8.673268029819832,-0.12589361989117967,245.60000000000022,294357.6502681461,9999705642.349731,20000245.6,333512.5224019917,2537.6992428173744
113238,UST->KRT,642.8735111801443,-0.17074047447878,2114.700000000002,2533951.030840849,9997421691.318892,20002114.7,334155.3959131719,2537.6992428173744
113241,UST->KRT,752.9887191292535,-0.17491926803014402,2288.500000000002,2742150.467773473,9995429540.851118,20002903.2,334908.3846323011,2537.6992428173744
113242,KRT->UST,0.10843657313516517,0.13473457289140395,1768501,1471.8737563045918,9997448041.851118,20000931.326243695,334908.3846323011,2537.8076793905097
113322,UST->KRT,9.440763558685138,-0.1261488556496543,256.2000000000002,307061.6203552216,9999692938.379644,20000256.2,334917.8253958598,2537.8076793905097
113323,UST->KRT,145.2462582958035,-0.14411817690507442,1005.0000000000009,1204407.373108655,9998738531.006536,20001005.0,335063.07165415556,2537.8076793905097
113370,UST->KRT,536.4810419088158,-0.16635194676736886,1931.8000000000018,2314840.9459673776,9997685159.054033,20001931.8,335599.55269606435,2537.8076793905097
113372,UST->KRT,0.417901923045152,-0.12129380053907537,53.90000000000005,64601.96557652922,9998120557.088457,20000985.7,335599.9705979874,2537.8076793905097
113373,UST->KRT,755.5889329590167,-0.17501346257404823,2292.500000000002,2746942.084769935,9995623615.003687,20002778.2,336355.5595309464,2537.8076793905097
113374,UST->KRT,263.97891212843217,-0.1525210837968615,1354.7000000000012,1623424.8953551874,9994250190.108332,20003632.9,336619.53844307485,2537.8076793905097
113388,UST->KRT,423.68198932455545,-0.16119643576771428,1716.5000000000016,2056903.9543341545,9995693286.153997,20001716.5,337043.2204323994,2537.8076793905097
113401,UST->KRT,0.1158494318561421,-0.12068117820588534,28.400000000000023,34038.98784348147,9998909247.166155,20000028.4,337043.33628183126,2537.8076793905097
113406,UST->KRT,130.45549227420346,-0.14285714285713474,952.5000000000008,1141497.7700310063,9998858502.229969,20000952.5,337173.79177410546,2537.8076793905097
113407,UST->KRT,4199.313852163973,-0.24968789013734452,5406.700000000004,6476047.240223718,9992632454.989746,20005859.2,341373.1056262694,2537.8076793905097
113408,UST->KRT,723.8058584150609,-0.17385877318115356,2243.100000000002,2687765.079535376,9990194689.910212,20007602.3,342096.9114846845,2537.8076793905097
113657,UST->KRT,0.04929263420217039,-0.12044430566087426,18.500000000000014,22173.310716109427,9999977826.689283,20000018.5,342096.9607773187,2537.8076793905097
114117,KRT->UST,0.00011087022408574551,0.1204711761556431,56501,47.02755482099009,10000056501,19999952.97244518,342096.9607773187,2537.807790260734
114363,KRT->UST,12.311002157336123,0.2770083102493197,18855801,15681.976208837004,10018855801,19984318.023791164,342096.9607773187,2550.11879241807
115069,KRT->UST,2.7632746216793036,0.1943854256136785,8929601,7429.636922705473,10008929601,19992570.363077294,342096.9607773187,2552.882067039749
